macro,micro,weighted,average
0.00075046904315197,0.05649717514124293,0.013550135501355014,0.023599259895249972
0.0012658227848101266,0.07738095238095238,0.01938880845130845,0.032678527872356984
0.0017751479289940825,0.0925925925925926,0.025158898305084745,0.03984221294222381
0.0017751479289940825,0.08152173913043478,0.025158898305084745,0.03615192845483787
0.002197802197802198,0.08899676375404532,0.029002790758047767,0.040065785569965096
0.002442002442002442,0.08771929824561404,0.030147588192944566,0.04010296296018702
0.002769230769230769,0.09000000000000001,0.03241356382978724,0.04172759819967267
0.0030946065428824046,0.09191176470588235,0.03466141272621132,0.04322259465832536
0.0032333767926988263,0.08786848072562359,0.035010097789115645,0.04203731843581269
0.003555658842667907,0.08966244725738395,0.037237149532710276,0.04348508521092071
0.0036880927291886197,0.08629191321499013,0.0375740284100489,0.04251801145140922
0.004009207749856129,0.08796296296296297,0.03978689418731495,0.04391968830004469
0.004330223552191517,0.08944153577661432,0.04199374366217587,0.04525516766366058
0.0044585987261146496,0.08663366336633666,0.04231770833333334,0.04446999014192821
0.004875832828588734,0.08998435054773084,0.046073717948717945,0.04697796710834584
0.0050028384899233605,0.08742559523809523,0.0463938492063492,0.04627409431145593
0.0050028384899233605,0.08333333333333334,0.0463938492063492,0.044910007009868635
0.005128205128205128,0.08130081300813008,0.04671150971599402,0.0443801759507764
0.005350623190230392,0.08106355382619974,0.047757101761956126,0.04472375959279542
0.005474060822898032,0.0792910447761194,0.04806949593926553,0.04427820051276099
0.005695701357466064,0.07915173237753882,0.04910853620474407,0.04465198997991632
0.005695701357466064,0.07614942528735633,0.04910853620474407,0.04365122094985549
0.006016330038676408,0.07751937984496124,0.05129342798752286,0.04494304595705351
0.006237836730513162,0.07745726495726496,0.052327169163545566,0.04534075695044123
0.006359627633512985,0.076109391124871,0.05263136840757809,0.04503346238865402
0.006359627633512985,0.07360279441117765,0.05263136840757809,0.04419793015075624
0.006580675422138837,0.07367149758454106,0.053660559275793655,0.044637577427491186
0.006580675422138837,0.07139513108614232,0.053660559275793655,0.0438787885946916
0.00680161943319838,0.07152588555858311,0.0546875,0.044338334997260496
0.00680161943319838,0.06944444444444443,0.0546875,0.04364452129254761
0.007022471910112359,0.0696229648671808,0.05571238912231559,0.04411927529986959
0.0071428571428571435,0.06875,0.05601008008837338,0.04396764574374351
0.0071428571428571435,0.06690997566909976,0.05601008008837338,0.04335430430011009
0.007262726834751886,0.06615323854660349,0.05630659381808279,0.043240853066479394
0.007262726834751886,0.06447267128560433,0.05630659381808279,0.04268066397947967
0.007382133995037221,0.06381381381381383,0.05660197869101979,0.04259930883329028
0.007382133995037221,0.06227106227106228,0.05660197869101979,0.04208505831903977
0.007501124606387764,0.061695278969957086,0.056896280471648124,0.04203089468266433
0.0077213079098093235,0.06201956673654788,0.057914008120649646,0.04255162758900229
0.007839831401475235,0.061475409836065566,0.058206106870229014,0.042507116035923276
0.007958029570075627,0.06095524382097529,0.05849726304111195,0.04247017881072095
0.008075930947814008,0.060457516339869274,0.05878751240079365,0.04244031989615898
0.008075930947814008,0.05918106206014077,0.05878751240079365,0.04201483513624948
0.008075930947814008,0.05795739348370927,0.05878751240079365,0.04160694561077231
0.008075930947814008,0.05678330263965624,0.05878751240079365,0.04121558199608796
0.008193560825139772,0.056407942238267145,0.05907688892970854,0.04122613066437182
0.008193560825139772,0.05530973451327434,0.05907688892970854,0.04086006142270755
0.008310941698431546,0.054976851851851846,0.059365424931462664,0.040884406160582025
0.008428093645484951,0.054656445201590007,0.059653151135005966,0.04091256332736031
0.00864792899408284,0.05504459308807136,0.06066372863247864,0.04145208357154428
